image_url,page,role,alt_text,title,notes
https://myeventmcp.com/wp-content/uploads/2024/03/4002abbe737c0bd71bc7df4804c79949.webp,All pages (header),Logo (header desktop),,,
https://myeventmcp.com/wp-content/uploads/2024/04/Asset-1.webp,All pages (header),Logo (header mobile),,,
https://myeventmcp.com/wp-content/uploads/2024/04/MyEventMCP-Logo-2.webp,Homepage + all,Logo (hero inline),,MyEventMCP Logo 2,
https://myeventmcp.com/wp-content/uploads/2024/04/Asset-2.webp,All pages (footer),Logo (footer),,Asset 2,
https://myeventmcp.com/wp-content/uploads/2024/04/cropped-Asset-1.webp,Homepage,Social/share (og image),,,
https://myeventmcp.com/wp-content/uploads/2024/04/MCP.png,All pages (favicon),Favicon,,,
https://myeventmcp.com/wp-content/uploads/2024/05/A-simplified-minimalistic-icon-resembling-an-ATEM-Mini-Pro.png,All package pages,Package tech icon,,,ATEM switcher icon
https://myeventmcp.com/wp-content/uploads/2024/04/Group-95.webp,Homepage (About),Section image,Event production workstation with multiple monitors displaying live video feeds.,Experts in Event Coverage Excellence,
https://myeventmcp.com/wp-content/uploads/2024/04/Illustration.webp,All inner pages,Hero/side illustration,,,Shared illustration on inner pages
https://myeventmcp.com/wp-content/uploads/2025/01/20241115_101711-scaled.jpg,Homepage (Gallery),Gallery image,Camera crew setting up equipment for a live event.,20241115_101711,
https://myeventmcp.com/wp-content/uploads/2025/01/DSC02235-scaled.jpg,Homepage (Gallery),Gallery image,Behind-the-scenes of a multi-camera production setup.,DSC02235,
https://myeventmcp.com/wp-content/uploads/2025/01/IMG_5279-scaled.jpg,Homepage (Gallery),Gallery image,Camera crew setting up equipment for a live event.,IMG_5279,
https://myeventmcp.com/wp-content/uploads/2025/01/DSC09768-scaled.jpg,Homepage (Gallery),Gallery image,Close-up of a high-end camera used in event coverage.,DSC09768,
https://myeventmcp.com/wp-content/uploads/2025/01/DSC02241-scaled.jpg,Homepage (Gallery),Gallery image,Event production team monitoring video feeds.,DSC02241,
https://myeventmcp.com/wp-content/uploads/2025/01/DSC00768-scaled.jpg,Homepage (Gallery),Gallery image,Cameraman adjusting focus during a recording session.,DSC00768,
https://myeventmcp.com/wp-content/uploads/2025/01/20241115_102814_PIM-scaled.jpg,Homepage (Gallery),Gallery image,Live streaming setup with multiple camera angles.,20241115_102814_PIM,
https://myeventmcp.com/wp-content/uploads/2025/01/DSC09787-scaled.jpg,Homepage (Gallery),Gallery image,Cameraman adjusting focus during a recording session.,DSC09787,
https://myeventmcp.com/wp-content/uploads/2024/04/Group-41.webp,Homepage + About-us,Client logo wall icon,,,,unlabeled/icon
https://myeventmcp.com/wp-content/uploads/2024/04/Group-43.webp,Homepage + About-us,Client logo wall icon,,,,unlabeled/icon
https://myeventmcp.com/wp-content/uploads/2024/04/Group-44.webp,Homepage + About-us,Client logo wall icon,,,,unlabeled/icon
https://myeventmcp.com/wp-content/uploads/2024/04/Group-45.webp,Homepage + About-us,Client logo wall icon,,,,unlabeled/icon
https://myeventmcp.com/wp-content/uploads/2024/04/Group-46.webp,Homepage + About-us,Client logo wall icon,,,,unlabeled/icon
https://myeventmcp.com/wp-content/uploads/2024/04/Group-47.webp,Homepage + About-us,Client logo wall icon,,,,unlabeled/icon
https://myeventmcp.com/wp-content/uploads/2024/04/BNM.webp,Homepage "Our Clients" + About-us,Client logo,,"BNM",Bank Negara Malaysia
https://myeventmcp.com/wp-content/uploads/2024/04/FIMMAC-Logo-1.png,Homepage + About-us,Client logo,,"FIMMAC Logo 1",Federation of Investment Managers Malaysia
https://myeventmcp.com/wp-content/uploads/2024/04/mia.webp,Homepage + About-us,Client logo,,"mia",Malaysian Institute of Accountants
https://myeventmcp.com/wp-content/uploads/2024/12/Khazanah_Nasional_logo.svg.png,Homepage + About-us,Client logo,,"Khazanah_Nasional_logo.svg",Khazanah Nasional
https://myeventmcp.com/wp-content/uploads/2024/04/petronas.webp,Homepage + About-us,Client logo,,"petronas",PETRONAS
https://myeventmcp.com/wp-content/uploads/2024/04/Artboard-2@4x-1.webp,Homepage + About-us,Client logo,,"Artboard 2@4x 1",KWSP/EPF
https://myeventmcp.com/wp-content/uploads/2024/04/bursa-logo-white-1.webp,Homepage + About-us,Client logo,,"bursa-logo-white 1",Bursa Malaysia
https://myeventmcp.com/wp-content/uploads/2024/04/asus-01.webp,Homepage + About-us,Client logo,,"asus-01",ASUS
https://myeventmcp.com/wp-content/uploads/2024/04/Cyberview-1.png,Homepage + About-us,Client logo,,"Cyberview 1",Cyberview
https://myeventmcp.com/wp-content/uploads/2024/04/Artboard-3@4x-1.webp,Homepage + About-us,Client logo,,"Artboard 3@4x 1",UNLABELED
https://myeventmcp.com/wp-content/uploads/2024/04/1-1-1.webp,Silver package + Homepage package card,Hero/package image,silver package mcp,,SILVER hero
https://myeventmcp.com/wp-content/uploads/2024/04/1-2-1.webp,Gold package + Homepage,Hero/package image,silver package mcp,1 2,GOLD hero (alt is wrong - copy pasta)
https://myeventmcp.com/wp-content/uploads/2024/04/1-3-3.webp,Diamond package + Homepage,Hero/package image,silver package mcp,1 3,DIAMOND hero (alt is wrong - copy pasta)
https://myeventmcp.com/wp-content/uploads/2024/04/1-3-1_1.webp,PTZ Robocam + Homepage,Hero/package image,PTZ robocam setup,,PTZ hero (also used on homepage card)
https://myeventmcp.com/wp-content/uploads/2024/04/1-3_1.webp,Customised solution + Homepage,Hero/package image,customised solution,,CUSTOM hero
https://myeventmcp.com/wp-content/uploads/2024/05/DSC00123.webp,Silver package,Gallery,,"DSC00123",
https://myeventmcp.com/wp-content/uploads/2024/05/DSC00141.webp,Silver package,Gallery,,"DSC00141",
https://myeventmcp.com/wp-content/uploads/2024/06/DSC06802-scaled.webp,Silver package,Gallery,,"DSC06802",
https://myeventmcp.com/wp-content/uploads/2024/05/DSC06780.webp,Silver package,Gallery,,"DSC06780",
https://myeventmcp.com/wp-content/uploads/2024/05/DSC00127.webp,Silver package,Gallery,silverpackage-gallery,,
https://myeventmcp.com/wp-content/uploads/2024/06/DSC06808-scaled.webp,Silver package,Gallery,,"DSC06808",
https://myeventmcp.com/wp-content/uploads/2024/05/DSC06784.webp,Silver package,Gallery,silverpackage-gallery,,
https://myeventmcp.com/wp-content/uploads/2024/05/DSC06777.webp,Silver package,Gallery,Event production workstation with multiple monitors displaying live video feeds.,,
https://myeventmcp.com/wp-content/uploads/2024/05/DSC00154.webp,Gold package,Gallery,goldpackage-gallery,,
https://myeventmcp.com/wp-content/uploads/2024/05/DSC00159.webp,Gold package,Gallery,,"DSC00159",
https://myeventmcp.com/wp-content/uploads/2024/06/DSC00155-scaled.webp,Gold package,Gallery,,"DSC00155",
https://myeventmcp.com/wp-content/uploads/2024/05/DSC00156.webp,Gold package,Gallery,goldpackage-gallery,,
https://myeventmcp.com/wp-content/uploads/2024/06/DSC00152-scaled.webp,Gold package,Gallery,,"DSC00152",
https://myeventmcp.com/wp-content/uploads/2024/06/DSC00163-scaled.webp,Gold package,Gallery,,"DSC00163",
https://myeventmcp.com/wp-content/uploads/2024/05/DSC00153.webp,Gold package,Gallery,goldpackage-gallery,,
https://myeventmcp.com/wp-content/uploads/2024/05/DSC00161.webp,Gold package,Gallery,,"DSC00161",
https://myeventmcp.com/wp-content/uploads/2024/06/DSC09686-scaled.webp,Diamond package,Gallery,,"DSC09686",
https://myeventmcp.com/wp-content/uploads/2024/05/DSC09707.webp,Diamond package,Gallery,diamondpackage-gallery,,
https://myeventmcp.com/wp-content/uploads/2024/05/DSC00171.webp,Diamond package,Gallery,diamondpackage-gallery,,
https://myeventmcp.com/wp-content/uploads/2024/05/DSC09657.webp,Diamond package,Gallery,,"DSC09657",
https://myeventmcp.com/wp-content/uploads/2024/05/DSC09713.webp,Diamond package,Gallery,diamondpackage-gallery,,
